bvn,state_of_origin,state_of_residence,local_government_area,source_of_income
20000003372,Katsina,Katsina,Katsina,Business
20000003373,Zamfara,Kogi,Okene,Business
20000003374,Zamfara,Adamawa,Yola North,Investment
20000003375,Kaduna,Ekiti,Ikere,Informal
20000003376,Ogun,Gombe,Kaltungo,Contract
20000003377,Zamfara,Kogi,Okene,Agriculture
20000003378,Katsina,Akwa Ibom,Eket,Salary
20000003379,Delta,Gombe,Gombe,Freelancing
20000003380,Yobe,Lagos,Alimosho,Agriculture
20000003381,Ondo,Sokoto,Sokoto North,Salary
20000003382,Borno,Osun,Ife Central,Salary
20000003383,Zamfara,Benue,Otukpo,Business
20000003384,Lagos,Akwa Ibom,Eket,Salary
20000003385,Sokoto,Borno,Biu,Business
20000003386,Oyo,Gombe,Kaltungo,Remittance
20000003387,Katsina,Niger,Bida,Agriculture
20000003388,Nasarawa,Osun,Ife Central,Salary
20000003389,Kwara,Cross River,Ikom,Remittance
20000003390,FCT,Katsina,Daura,Remittance
20000003391,Kogi,Kogi,Lokoja,Agriculture
20000003392,Anambra,Cross River,Calabar Municipal,Business
20000003393,Borno,Kwara,Offa,Contract
20000003394,Ogun,Lagos,Yaba,Agriculture
20000003395,Bauchi,Ondo,Ondo West,Salary
20000003396,Yobe,Rivers,Obio-Akpor,Remittance
20000003397,Zamfara,Ebonyi,Abakaliki,Salary
20000003398,Yobe,Edo,Ikpoba-Okha,Remittance
20000003399,Anambra,Bauchi,Bauchi,Business
20000003400,Sokoto,Kwara,Ilorin East,Salary
20000003401,Bayelsa,Delta,Warri South,Investment
20000003402,Jigawa,Cross River,Ikom,Business
20000003403,Ogun,Akwa Ibom,Uyo,Salary
20000003404,FCT,Lagos,Surulere,Salary
20000003405,Katsina,Rivers,Okrika,Mixed
20000003406,Nasarawa,Abia,Aba South,Freelancing
20000003407,Kwara,Edo,Oredo,Contract
20000003408,Imo,Bayelsa,Ogbia,Business
20000003409,Bayelsa,Abia,Aba South,Salary
20000003410,Bayelsa,Abia,Aba South,Business
20000003411,Kwara,Nasarawa,Lafia,Salary
20000003412,Ogun,Enugu,Enugu North,Salary
20000003413,Nasarawa,Gombe,Kaltungo,Freelancing
20000003414,Edo,Anambra,Onitsha North,Freelancing
20000003415,Yobe,Kwara,Ilorin West,Freelancing
20000003416,Abia,Niger,Suleja,Freelancing
20000003417,Lagos,Bauchi,Bauchi,Mixed
20000003418,Kogi,Bauchi,Bauchi,Salary
20000003419,Enugu,Cross River,Ikom,Remittance
20000003420,Imo,Gombe,Gombe,Salary
20000003421,Kaduna,Rivers,Obio-Akpor,Salary
20000003422,Jigawa,Yobe,Damaturu,Investment
20000003423,Niger,Gombe,Kaltungo,Business
20000003424,Ogun,Akwa Ibom,Uyo,Agriculture
20000003425,Akwa Ibom,Ogun,Ado-Odo/Ota,Agriculture
20000003426,Ogun,Sokoto,Tambuwal,Investment
20000003427,Abia,Ebonyi,Afikpo North,Business
20000003428,Borno,Abia,Aba South,Mixed
20000003429,Rivers,Katsina,Katsina,Business
20000003430,Yobe,Kebbi,Argungu,Salary
20000003431,Jigawa,Kaduna,Kaduna North,Mixed
20000003432,Jigawa,Anambra,Awka South,Informal
20000003433,Yobe,Bauchi,Bauchi,Agriculture
20000003434,Edo,Osun,Ilesa East,Remittance
20000003435,Kebbi,Jigawa,Hadejia,Informal
20000003436,FCT,Ekiti,Ado-Ekiti,Business
20000003437,Enugu,Benue,Otukpo,Freelancing
20000003438,Ekiti,Osun,Osogbo,Salary
20000003439,FCT,Kwara,Ilorin East,Mixed
20000003440,Kwara,Kogi,Okene,Business
20000003441,Sokoto,Lagos,Eti-Osa,Salary
20000003442,Ebonyi,Cross River,Ikom,Salary
20000003443,Niger,Niger,Minna,Agriculture
20000003444,Ebonyi,Adamawa,Mubi North,Freelancing
20000003445,Oyo,Niger,Suleja,Investment
20000003446,Osun,Jigawa,Hadejia,Salary
20000003447,Bauchi,Katsina,Katsina,Business
20000003448,Benue,Ogun,Sagamu,Investment
20000003449,Edo,Akwa Ibom,Uyo,Business
20000003450,Adamawa,Oyo,Oyo East,Salary
20000003451,Bauchi,Borno,Maiduguri,Salary
20000003452,Gombe,Borno,Biu,Agriculture
20000003453,Enugu,Kebbi,Argungu,Salary
20000003454,Oyo,Cross River,Calabar Municipal,Salary
20000003455,Akwa Ibom,Ekiti,Oye,Business
20000003456,Zamfara,Kwara,Offa,Agriculture
20000003457,Cross River,Kano,Gwale,Business
20000003458,Ondo,Rivers,Eleme,Agriculture
20000003459,Bauchi,Borno,Biu,Agriculture
20000003460,Kebbi,Ondo,Owo,Investment
20000003461,Ondo,Imo,Owerri Municipal,Freelancing
20000003462,Kano,Borno,Maiduguri,Salary
20000003463,Kaduna,Oyo,Ogbomosho North,Agriculture
20000003464,Bayelsa,Ogun,Ado-Odo/Ota,Contract
20000003465,Ondo,Niger,Bida,Salary
20000003466,Enugu,Taraba,Wukari,Contract
20000003467,Bauchi,Taraba,Jalingo,Business
20000003468,Anambra,Osun,Ilesa East,Agriculture
20000003469,Cross River,Adamawa,Yola North,Salary
20000003470,Lagos,Adamawa,Yola North,Salary
20000003471,Anambra,Delta,Oshimili South,Salary
20000003472,Niger,Edo,Oredo,Freelancing
20000003473,Borno,Sokoto,Tambuwal,Freelancing
20000003474,Adamawa,Borno,Maiduguri,Business
20000003475,Kano,Lagos,Alimosho,Salary
20000003476,Ogun,Zamfara,Gusau,Salary
20000003477,Katsina,Borno,Maiduguri,Agriculture
20000003478,Bayelsa,Kebbi,Argungu,Agriculture
20000003479,Kano,Ondo,Ondo West,Business
20000003480,Imo,Edo,Ikpoba-Okha,Business
20000003481,Bauchi,Jigawa,Dutse,Agriculture
20000003482,Ekiti,Delta,Warri South,Freelancing
20000003483,Niger,Bayelsa,Ogbia,Salary
20000003484,Nasarawa,Edo,Ikpoba-Okha,Business
20000003485,Taraba,Kaduna,Kaduna South,Agriculture
20000003486,Akwa Ibom,Yobe,Potiskum,Business
20000003487,Adamawa,FCT,Gwagwalada,Business
20000003488,Kano,Katsina,Daura,Business
20000003489,Jigawa,Yobe,Damaturu,Agriculture
20000003490,Rivers,Taraba,Wukari,Salary
20000003491,Yobe,Borno,Biu,Salary
20000003492,Jigawa,Edo,Ikpoba-Okha,Salary
20000003493,Lagos,Anambra,Onitsha North,Salary
20000003494,Delta,Benue,Makurdi,Business
20000003495,Sokoto,Kogi,Lokoja,Agriculture
20000003496,Zamfara,Kaduna,Kaduna South,Business
20000003497,Taraba,Jigawa,Hadejia,Salary
20000003498,Kaduna,Edo,Oredo,Investment
20000003499,Delta,Bauchi,Azare,Agriculture
20000003500,Gombe,Plateau,Jos South,Agriculture
20000003501,Gombe,Imo,Owerri Municipal,Salary
20000003502,Imo,Cross River,Ikom,Business
20000003503,Plateau,Zamfara,Gusau,Mixed
20000003504,Akwa Ibom,Taraba,Wukari,Salary
20000003505,Gombe,Benue,Otukpo,Investment
20000003506,Adamawa,Kaduna,Kaduna North,Freelancing
20000003507,Anambra,Edo,Egor,Agriculture
20000003508,Adamawa,Rivers,Okrika,Business
20000003509,Imo,Kebbi,Birnin Kebbi,Business
20000003510,Osun,Kwara,Ilorin West,Business
20000003511,Ogun,Katsina,Daura,Freelancing
20000003512,Borno,Benue,Makurdi,Informal
20000003513,Ebonyi,Enugu,Enugu North,Agriculture
20000003514,Kebbi,Benue,Gboko,Remittance
20000003515,Gombe,Kogi,Lokoja,Business
20000003516,Anambra,Rivers,Eleme,Freelancing
20000003517,Gombe,Delta,Warri South,Business
20000003518,Abia,Kano,Nassarawa,Salary
20000003519,Cross River,Kebbi,Argungu,Agriculture
20000003520,Ebonyi,Yobe,Potiskum,Agriculture
20000003521,Plateau,Benue,Gboko,Salary
20000003522,Zamfara,Cross River,Ikom,Salary
20000003523,Imo,Osun,Ife Central,Freelancing
20000003524,Enugu,Anambra,Onitsha North,Salary
20000003525,Cross River,Plateau,Jos North,Investment
20000003526,Oyo,Nasarawa,Lafia,Business
20000003527,Edo,Rivers,Eleme,Salary
20000003528,Kebbi,Enugu,Nsukka,Business
20000003529,Cross River,Oyo,Ibadan South-West,Business
20000003530,Ebonyi,Kaduna,Kaduna North,Agriculture
20000003531,Rivers,Enugu,Nsukka,Salary
20000003532,Kaduna,Akwa Ibom,Eket,Investment
20000003533,Bayelsa,Oyo,Ibadan South-West,Freelancing
20000003534,Bauchi,Jigawa,Dutse,Business
20000003535,Ogun,Akwa Ibom,Eket,Freelancing
20000003536,Bauchi,Kebbi,Argungu,Freelancing
20000003537,Jigawa,Bayelsa,Ogbia,Agriculture
20000003538,Bauchi,Lagos,Yaba,Salary
20000003539,Ebonyi,Ebonyi,Afikpo North,Salary
20000003540,Ekiti,Ogun,Abeokuta South,Business
20000003541,Ondo,Akwa Ibom,Uyo,Contract
20000003542,Jigawa,Imo,Orlu,Freelancing
20000003543,Kebbi,Yobe,Damaturu,Investment
20000003544,Rivers,Lagos,Alimosho,Agriculture
20000003545,Kaduna,FCT,Abuja Municipal,Freelancing
20000003546,Bauchi,Enugu,Nsukka,Salary
20000003547,Ondo,Kaduna,Kafanchan,Business
20000003548,Ogun,FCT,Abuja Municipal,Investment
20000003549,Nasarawa,Kogi,Lokoja,Agriculture
20000003550,Osun,Bauchi,Bauchi,Salary
20000003551,Kaduna,Bayelsa,Yenagoa,Business
20000003552,Adamawa,FCT,Abuja Municipal,Business
20000003553,Bauchi,Osun,Ilesa East,Business
20000003554,Yobe,Bayelsa,Ogbia,Contract
20000003555,Bauchi,Enugu,Enugu South,Agriculture
20000003556,Edo,Rivers,Eleme,Salary
20000003557,Benue,Rivers,Obio-Akpor,Mixed
20000003558,Nasarawa,Bauchi,Bauchi,Freelancing
20000003559,Ogun,Plateau,Jos South,Remittance
20000003560,Plateau,Jigawa,Dutse,Remittance
20000003561,Yobe,Taraba,Wukari,Salary
20000003562,FCT,Yobe,Potiskum,Salary
20000003563,Benue,Borno,Biu,Business
20000003564,Zamfara,Kano,Nassarawa,Salary
20000003565,Oyo,Zamfara,Kaura Namoda,Salary
20000003566,Jigawa,Ogun,Sagamu,Salary
20000003567,Kaduna,Ogun,Sagamu,Salary
20000003568,Jigawa,Benue,Gboko,Business
20000003569,Borno,Rivers,Port Harcourt,Salary
20000003570,Lagos,Kebbi,Argungu,Freelancing
20000003571,Rivers,Benue,Otukpo,Remittance
20000003572,Edo,Kebbi,Argungu,Mixed
20000003573,Osun,Ekiti,Ikere,Informal
20000003574,Bauchi,Delta,Oshimili South,Informal
20000003575,Sokoto,Osun,Ife Central,Salary
20000003576,Osun,Katsina,Katsina,Salary
20000003577,Osun,Katsina,Daura,Freelancing
20000003578,Jigawa,Kano,Nassarawa,Salary
20000003579,Kaduna,Enugu,Enugu South,Salary
20000003580,Plateau,Abia,Umuahia North,Salary
20000003581,Ekiti,Niger,Minna,Business
20000003582,Edo,Jigawa,Hadejia,Salary
20000003583,Borno,Jigawa,Hadejia,Salary
20000003584,Imo,Kwara,Ilorin East,Salary
20000003585,Niger,Ebonyi,Afikpo North,Business
20000003586,Abia,Bauchi,Bauchi,Salary
20000003587,Gombe,Nasarawa,Keffi,Salary
20000003588,Niger,Ogun,Ado-Odo/Ota,Mixed
20000003589,Akwa Ibom,Enugu,Enugu South,Investment
20000003590,Rivers,Kano,Fagge,Investment
20000003591,Benue,Benue,Otukpo,Salary
20000003592,Yobe,Bayelsa,Yenagoa,Agriculture
20000003593,Ekiti,Abia,Aba South,Business
20000003594,Nasarawa,Adamawa,Yola North,Salary
20000003595,Plateau,Yobe,Potiskum,Agriculture
20000003596,Anambra,Imo,Owerri Municipal,Freelancing
20000003597,Akwa Ibom,Ekiti,Ado-Ekiti,Business
20000003598,Ogun,Bayelsa,Ogbia,Business
20000003599,Zamfara,FCT,Abuja Municipal,Business
20000003600,Niger,Osun,Ife Central,Agriculture
20000003601,Katsina,Ondo,Ondo West,Remittance
20000003602,Anambra,Katsina,Katsina,Salary
20000003603,Kwara,Kaduna,Kaduna North,Salary
20000003604,Plateau,Zamfara,Kaura Namoda,Business
20000003605,Abia,Kano,Nassarawa,Agriculture
20000003606,Osun,Ogun,Abeokuta South,Freelancing
20000003607,Ekiti,Enugu,Nsukka,Agriculture
20000003608,Borno,Zamfara,Kaura Namoda,Remittance
20000003609,Borno,Gombe,Kaltungo,Business
20000003610,Edo,Imo,Owerri Municipal,Mixed
20000003611,Taraba,Plateau,Jos North,Salary
20000003612,Kano,Niger,Minna,Salary
20000003613,Kebbi,Delta,Udu,Salary
20000003614,Borno,Anambra,Awka South,Salary
20000003615,Edo,Kaduna,Kaduna North,Salary
20000003616,Oyo,Ondo,Owo,Remittance
20000003617,Enugu,Abia,Umuahia North,Salary
20000003618,Sokoto,Kebbi,Argungu,Mixed
20000003619,Kogi,Kaduna,Kaduna North,Agriculture
20000003620,Cross River,Delta,Oshimili South,Salary
20000003621,Borno,Zamfara,Kaura Namoda,Business
20000003622,Ekiti,Kaduna,Zaria,Agriculture
20000003623,Kwara,Katsina,Katsina,Contract
20000003624,Akwa Ibom,Akwa Ibom,Eket,Agriculture
20000003625,Plateau,Plateau,Jos South,Business
20000003626,Delta,Plateau,Jos South,Salary
20000003627,Imo,Anambra,Onitsha North,Business
20000003628,Lagos,Imo,Owerri Municipal,Agriculture
20000003629,Kwara,Ondo,Owo,Business
20000003630,Niger,Jigawa,Dutse,Investment
20000003631,Kaduna,Taraba,Jalingo,Salary
20000003632,Abia,Anambra,Awka South,Investment
20000003633,Ekiti,Abia,Umuahia North,Business
20000003634,Abia,Edo,Egor,Business
20000003635,Delta,Sokoto,Tambuwal,Contract
20000003636,Kwara,Kwara,Ilorin East,Investment
20000003637,Abia,Delta,Warri South,Salary
20000003638,Delta,Gombe,Gombe,Investment
20000003639,Gombe,Imo,Owerri Municipal,Investment
20000003640,Bauchi,Cross River,Calabar Municipal,Salary
20000003641,Edo,Borno,Biu,Freelancing
20000003642,Ondo,Ondo,Owo,Agriculture
20000003643,Kebbi,Sokoto,Tambuwal,Contract
20000003644,Borno,Oyo,Ogbomosho North,Freelancing
20000003645,Katsina,Imo,Owerri Municipal,Business
20000003646,Ebonyi,Akwa Ibom,Uyo,Salary
20000003647,Ekiti,Sokoto,Sokoto North,Salary
20000003648,Ondo,Kano,Fagge,Contract
20000003649,Kebbi,Edo,Egor,Business
20000003650,Ekiti,Ekiti,Ado-Ekiti,Business
20000003651,Bayelsa,Jigawa,Dutse,Salary
20000003652,Edo,Kano,Nassarawa,Agriculture
20000003653,Oyo,Katsina,Katsina,Business
20000003654,Adamawa,Ogun,Ijebu Ode,Agriculture
20000003655,Osun,Ebonyi,Abakaliki,Business
20000003656,Kaduna,Rivers,Okrika,Business
20000003657,Anambra,Taraba,Wukari,Agriculture
20000003658,Ebonyi,Kogi,Okene,Agriculture
20000003659,Cross River,Gombe,Kaltungo,Business
20000003660,Kaduna,Kebbi,Birnin Kebbi,Salary
20000003661,Kano,Kaduna,Kafanchan,Investment
20000003662,Lagos,FCT,Bwari,Investment
20000003663,Rivers,Benue,Gboko,Salary
20000003664,Ogun,Plateau,Jos North,Freelancing
20000003665,Akwa Ibom,Delta,Warri South,Salary
20000003666,Kano,Osun,Osogbo,Business
20000003667,Katsina,Yobe,Damaturu,Freelancing
20000003668,Oyo,Enugu,Enugu South,Agriculture
20000003669,Edo,Jigawa,Dutse,Business
20000003670,Nasarawa,Adamawa,Mubi North,Salary
20000003671,Katsina,Imo,Orlu,Freelancing
20000003672,Abia,Kano,Fagge,Business
20000003673,Yobe,Anambra,Nnewi North,Salary
20000003674,Bauchi,Benue,Otukpo,Freelancing
20000003675,Abia,Taraba,Wukari,Investment
20000003676,Imo,Abia,Umuahia North,Business
20000003677,Niger,Ondo,Owo,Business
20000003678,Bauchi,Oyo,Oyo East,Business
20000003679,Yobe,Ogun,Abeokuta South,Remittance
20000003680,Taraba,Edo,Oredo,Salary
20000003681,Kebbi,Sokoto,Sokoto North,Business
20000003682,Niger,FCT,Abuja Municipal,Agriculture
20000003683,Yobe,Adamawa,Mubi North,Business
20000003684,Ondo,Katsina,Daura,Business
20000003685,Benue,Imo,Orlu,Business
20000003686,Niger,Kogi,Okene,Business
20000003687,Benue,Sokoto,Sokoto North,Freelancing
20000003688,Cross River,Zamfara,Kaura Namoda,Salary
20000003689,Taraba,Zamfara,Gusau,Salary
20000003690,Cross River,Zamfara,Gusau,Salary
20000003691,Bayelsa,Zamfara,Kaura Namoda,Salary
20000003692,Kogi,Enugu,Nsukka,Agriculture
20000003693,Gombe,Osun,Osogbo,Remittance
20000003694,Adamawa,Kogi,Lokoja,Freelancing
20000003695,Rivers,FCT,Kuje,Freelancing
20000003696,Ebonyi,Ogun,Abeokuta South,Salary
20000003697,Rivers,Kwara,Ilorin West,Freelancing
20000003698,Katsina,Kano,Tarauni,Salary
20000003699,Anambra,Ebonyi,Afikpo North,Mixed
20000003700,Akwa Ibom,Katsina,Daura,Salary
20000003701,Katsina,Edo,Ikpoba-Okha,Freelancing
20000003702,Oyo,Benue,Otukpo,Agriculture
20000003703,Abia,Akwa Ibom,Uyo,Salary
20000003704,Kogi,Sokoto,Tambuwal,Agriculture
20000003705,Bayelsa,Taraba,Jalingo,Freelancing
20000003706,Abia,Cross River,Calabar Municipal,Salary
20000003707,Imo,Plateau,Barkin Ladi,Agriculture
20000003708,Sokoto,Gombe,Gombe,Investment
20000003709,Ogun,Kaduna,Kaduna South,Business
20000003710,Ondo,Gombe,Kaltungo,Salary
20000003711,Katsina,Kano,Tarauni,Investment
20000003712,Jigawa,Borno,Maiduguri,Salary
20000003713,Jigawa,Oyo,Ogbomosho North,Freelancing
20000003714,Anambra,Cross River,Calabar Municipal,Business
20000003715,Cross River,Niger,Minna,Contract
20000003716,Jigawa,FCT,Abuja Municipal,Contract
20000003717,Adamawa,Plateau,Jos North,Business
20000003718,Yobe,Enugu,Enugu North,Salary
20000003719,Osun,Ebonyi,Abakaliki,Business
20000003720,Plateau,Ekiti,Oye,Agriculture
20000003721,Kaduna,Niger,Bida,Informal
20000003722,Kebbi,Gombe,Gombe,Business
20000003723,Oyo,Kwara,Offa,Salary
20000003724,Ebonyi,Ondo,Owo,Salary
20000003725,Taraba,Sokoto,Sokoto North,Agriculture
20000003726,Benue,Niger,Bida,Business
20000003727,Taraba,Katsina,Daura,Business
20000003728,Ekiti,Kogi,Lokoja,Salary
20000003729,Edo,Anambra,Nnewi North,Agriculture
20000003730,Borno,Osun,Ife Central,Business
20000003731,Kaduna,Ebonyi,Abakaliki,Business
20000003732,Adamawa,FCT,Gwagwalada,Investment
20000003733,Zamfara,Cross River,Calabar Municipal,Salary
20000003734,Edo,Delta,Warri South,Freelancing
20000003735,Edo,Yobe,Potiskum,Investment
20000003736,Rivers,Oyo,Ibadan South-West,Business
20000003737,Nasarawa,Plateau,Jos South,Informal
20000003738,Sokoto,Taraba,Wukari,Salary
20000003739,Oyo,Cross River,Calabar Municipal,Business
20000003740,Gombe,FCT,Abuja Municipal,Salary
20000003741,Oyo,Plateau,Jos South,Salary
20000003742,Kebbi,FCT,Gwagwalada,Salary
20000003743,Nasarawa,Imo,Orlu,Informal
20000003744,Anambra,Benue,Gboko,Contract
20000003745,Bauchi,Enugu,Enugu South,Investment
20000003746,Katsina,Kogi,Okene,Business
20000003747,Nasarawa,Zamfara,Kaura Namoda,Freelancing
20000003748,Gombe,Gombe,Gombe,Freelancing
20000003749,Niger,Ondo,Owo,Agriculture
20000003750,Taraba,Ogun,Ado-Odo/Ota,Agriculture
20000003751,Imo,FCT,Kuje,Remittance
20000003752,Delta,Kaduna,Zaria,Salary
20000003753,Kwara,Kebbi,Argungu,Salary
20000003754,Akwa Ibom,Ebonyi,Afikpo North,Freelancing
20000003755,Ogun,Imo,Owerri Municipal,Agriculture
20000003756,Kogi,Osun,Ife Central,Salary
20000003757,Kebbi,Abia,Aba South,Remittance
20000003758,Jigawa,Bayelsa,Ogbia,Business
20000003759,Ogun,Gombe,Gombe,Business
20000003760,Zamfara,Ondo,Owo,Salary
20000003761,Borno,Oyo,Ogbomosho North,Salary
20000003762,Jigawa,Oyo,Ibadan North,Informal
20000003763,Katsina,Sokoto,Tambuwal,Salary
20000003764,Oyo,Kogi,Lokoja,Investment
20000003765,Lagos,Gombe,Kaltungo,Freelancing
20000003766,FCT,Kano,Tarauni,Agriculture
20000003767,Edo,Kwara,Ilorin West,Freelancing
20000003768,FCT,Plateau,Jos South,Salary
20000003769,Imo,Nasarawa,Lafia,Investment
20000003770,Cross River,Anambra,Nnewi North,Business
20000003771,Adamawa,Abia,Aba South,Salary
20000003772,Benue,Cross River,Ikom,Business
20000003773,Kwara,Rivers,Eleme,Salary
20000003774,Ondo,Ondo,Owo,Freelancing
20000003775,Kaduna,Enugu,Enugu South,Salary
20000003776,Kaduna,Borno,Biu,Business
20000003777,Ogun,Zamfara,Kaura Namoda,Salary
20000003778,Kano,Lagos,Surulere,Mixed
20000003779,Plateau,Kogi,Lokoja,Salary
20000003780,Nasarawa,Edo,Ikpoba-Okha,Salary
20000003781,Imo,Kano,Fagge,Agriculture
20000003782,Zamfara,Adamawa,Yola North,Business
20000003783,Taraba,Sokoto,Tambuwal,Salary
20000003784,Gombe,Kaduna,Kaduna South,Freelancing
20000003785,Benue,Borno,Maiduguri,Contract
20000003786,Anambra,Zamfara,Gusau,Salary
20000003787,Jigawa,Edo,Ikpoba-Okha,Agriculture
20000003788,Imo,Akwa Ibom,Uyo,Salary
20000003789,Katsina,Imo,Owerri Municipal,Contract
20000003790,Sokoto,Gombe,Gombe,Agriculture
20000003791,Imo,Borno,Maiduguri,Salary
20000003792,Kogi,Bauchi,Bauchi,Agriculture
20000003793,Abia,Benue,Makurdi,Salary
20000003794,Anambra,Yobe,Potiskum,Business
20000003795,Delta,FCT,Bwari,Informal
20000003796,Akwa Ibom,Kwara,Offa,Business
20000003797,Benue,Nasarawa,Lafia,Salary
20000003798,Bauchi,Ogun,Ado-Odo/Ota,Business
20000003799,Kaduna,Kwara,Ilorin East,Agriculture
20000003800,Borno,Ebonyi,Afikpo North,Contract
20000003801,Benue,Plateau,Jos North,Business
20000003802,Cross River,Kebbi,Birnin Kebbi,Business
20000003803,Niger,Nasarawa,Lafia,Business
20000003804,Niger,Jigawa,Dutse,Business
20000003805,Ogun,Niger,Bida,Agriculture
20000003806,Gombe,Niger,Minna,Business
20000003807,Ekiti,Bauchi,Bauchi,Contract
20000003808,Imo,Yobe,Potiskum,Business
20000003809,Kwara,Sokoto,Tambuwal,Agriculture
20000003810,Plateau,Kebbi,Birnin Kebbi,Contract
20000003811,Ebonyi,Borno,Maiduguri,Freelancing
20000003812,Kebbi,Benue,Gboko,Salary
20000003813,Abia,Enugu,Enugu South,Salary
20000003814,Oyo,Bayelsa,Ogbia,Remittance
20000003815,Ogun,Yobe,Damaturu,Business
20000003816,Ebonyi,Plateau,Jos South,Salary
20000003817,Delta,Lagos,Surulere,Salary
20000003818,Yobe,Imo,Owerri Municipal,Informal
20000003819,Ondo,Gombe,Kaltungo,Freelancing
20000003820,Benue,Kwara,Ilorin West,Contract
20000003821,Sokoto,Ondo,Ondo West,Salary
20000003822,Enugu,Enugu,Nsukka,Business
20000003823,Taraba,Kebbi,Argungu,Salary
20000003824,Edo,Osun,Ife Central,Agriculture
20000003825,Lagos,Plateau,Jos North,Salary
20000003826,Enugu,Bayelsa,Ogbia,Salary
20000003827,Plateau,Kwara,Ilorin West,Salary
20000003828,Abia,Cross River,Calabar Municipal,Salary
20000003829,Imo,Kebbi,Argungu,Mixed
20000003830,Niger,Lagos,Alimosho,Agriculture
20000003831,Benue,Kaduna,Kaduna North,Freelancing
20000003832,Enugu,Rivers,Port Harcourt,Agriculture
20000003833,Abia,Benue,Makurdi,Salary
20000003834,Bayelsa,Delta,Oshimili South,Remittance
20000003835,Anambra,Ekiti,Ikere,Salary
20000003836,Niger,Borno,Biu,Salary
20000003837,Zamfara,Nasarawa,Lafia,Salary
20000003838,Borno,Taraba,Jalingo,Business
20000003839,Rivers,Jigawa,Dutse,Salary
20000003840,Enugu,Kogi,Okene,Remittance
20000003841,Taraba,Kwara,Ilorin East,Salary
20000003842,Oyo,Zamfara,Gusau,Contract
20000003843,Kano,Kano,Nassarawa,Salary
20000003844,Cross River,Kwara,Offa,Business
20000003845,Benue,Enugu,Nsukka,Salary
20000003846,Ogun,Yobe,Potiskum,Business
20000003847,Rivers,Rivers,Eleme,Investment
20000003848,Nasarawa,Yobe,Potiskum,Business
20000003849,Zamfara,Ogun,Abeokuta South,Salary
20000003850,Bauchi,Adamawa,Mubi North,Salary
20000003851,Adamawa,Rivers,Obio-Akpor,Salary
20000003852,Taraba,Nasarawa,Keffi,Salary
20000003853,Delta,Enugu,Enugu South,Business
20000003854,Plateau,Kaduna,Kafanchan,Salary
20000003855,Ondo,Lagos,Ikeja,Agriculture
20000003856,Imo,Ekiti,Ikere,Informal
20000003857,Rivers,Bauchi,Azare,Salary
20000003858,Bauchi,Delta,Oshimili South,Agriculture
20000003859,Bauchi,Bayelsa,Yenagoa,Salary
20000003860,Osun,Cross River,Ikom,Business
20000003861,Abia,Nasarawa,Keffi,Salary
20000003862,Anambra,Kwara,Ilorin West,Salary
20000003863,Edo,Rivers,Obio-Akpor,Freelancing
20000003864,Niger,Ekiti,Ikere,Freelancing
20000003865,Kaduna,Jigawa,Hadejia,Contract
20000003866,Ogun,Enugu,Nsukka,Salary
20000003867,Bayelsa,Oyo,Ibadan North,Agriculture
20000003868,Oyo,Kwara,Offa,Salary
20000003869,Gombe,Niger,Minna,Contract
20000003870,Ogun,Kwara,Offa,Agriculture
20000003871,Cross River,Bayelsa,Yenagoa,Remittance
20000003872,Anambra,Adamawa,Yola North,Freelancing
20000003873,Bayelsa,Rivers,Eleme,Business
20000003874,Osun,Kogi,Lokoja,Salary
20000003875,Enugu,Yobe,Potiskum,Remittance
20000003876,Kebbi,Plateau,Barkin Ladi,Business
20000003877,Edo,Taraba,Wukari,Investment
20000003878,Anambra,Oyo,Ibadan South-West,Business
20000003879,Kano,Edo,Oredo,Salary
20000003880,Nasarawa,Benue,Otukpo,Salary
20000003881,Bauchi,Osun,Ife Central,Business
20000003882,Katsina,Anambra,Nnewi North,Salary
20000003883,Delta,Kogi,Okene,Salary
20000003884,Kebbi,Kebbi,Argungu,Salary
20000003885,Kano,Lagos,Surulere,Salary
20000003886,Bayelsa,Ogun,Abeokuta South,Remittance
20000003887,Kano,Osun,Ife Central,Remittance
20000003888,Lagos,Kaduna,Kaduna South,Informal
20000003889,Niger,Kogi,Lokoja,Business
20000003890,Katsina,Nasarawa,Keffi,Business
20000003891,Lagos,Bayelsa,Ogbia,Salary
20000003892,Imo,Akwa Ibom,Uyo,Salary
20000003893,Gombe,Sokoto,Sokoto North,Contract
20000003894,Ogun,Ondo,Akure South,Agriculture
20000003895,Abia,Adamawa,Mubi North,Business
20000003896,Borno,Plateau,Barkin Ladi,Salary
20000003897,Cross River,Anambra,Onitsha North,Salary
20000003898,Adamawa,Gombe,Kaltungo,Business
20000003899,Kaduna,Kogi,Okene,Freelancing
20000003900,Kogi,Enugu,Enugu North,Business
20000003901,Yobe,Taraba,Jalingo,Freelancing
20000003902,Oyo,Yobe,Potiskum,Freelancing
20000003903,Borno,Plateau,Barkin Ladi,Remittance
20000003904,Jigawa,FCT,Bwari,Salary
20000003905,Taraba,Delta,Udu,Salary
20000003906,Yobe,Kano,Gwale,Salary
20000003907,Nasarawa,Kaduna,Zaria,Investment
20000003908,Cross River,Akwa Ibom,Eket,Salary
20000003909,Ondo,Kebbi,Birnin Kebbi,Business
20000003910,Zamfara,Cross River,Calabar Municipal,Business
20000003911,Oyo,Edo,Ikpoba-Okha,Salary
