bvn,first_name,last_name,gender,age,date_of_birth,marital_status,nationality,employment_status,occupation,employment_sector,education_level,years_of_experience
20000015540,Fatima,Akinwale,Female,55,1971-01-01,Married,Nigerian,Self-Employed,Farmer,NGO,Masters,29.0
20000015541,Ibrahim,Adeyemi,Male,75,1951-01-01,Single,Nigerian,Retired,Retired,,Diploma,
20000015542,Tunde,Sadiq,Male,50,1976-01-01,Divorced,Nigerian,Employed,Engineer,Public,Secondary,24.0
20000015543,Fatima,Mohammed,Female,61,1965-01-01,Married,Nigerian,Employed,Teacher,Private,Diploma,40.0
20000015544,Sade,Adeyemi,Female,72,1954-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000015545,Musa,Adeyemi,Male,60,1966-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000015546,Amaka,Sadiq,Female,46,1980-01-01,Divorced,Nigerian,Unemployed,None,,Secondary,
20000015547,Ibrahim,Ogunleye,Male,23,2003-01-01,Divorced,Nigerian,Unemployed,None,,Bachelors,
20000015548,Bisi,Lawal,Female,39,1987-01-01,Widowed,Nigerian,Self-Employed,Farmer,Public,Bachelors,14.0
20000015549,Kemi,Lawal,Female,38,1988-01-01,Widowed,Nigerian,Self-Employed,Farmer,NGO,Bachelors,8.0
20000015550,Kemi,Lawal,Female,42,1984-01-01,Widowed,Nigerian,Self-Employed,Artisan,Informal,Bachelors,0.0
20000015551,Aisha,Okoye,Female,46,1980-01-01,Divorced,Nigerian,Retired,Retired,,Bachelors,
20000015552,Kunle,Ogunleye,Male,51,1975-01-01,Single,Nigerian,Student,Student,,Bachelors,
20000015553,Amaka,Abdullahi,Female,72,1954-01-01,Widowed,Nigerian,Retired,Retired,,Masters,
20000015554,Kunle,Okoye,Male,33,1993-01-01,Married,Nigerian,Student,Student,,Secondary,
20000015555,Bisi,Mohammed,Female,33,1993-01-01,Widowed,Nigerian,Unemployed,None,,Secondary,
20000015556,Yusuf,Adeyemi,Male,61,1965-01-01,Single,Nigerian,Student,Student,,Diploma,
20000015557,Funke,Lawal,Female,56,1970-01-01,Single,Nigerian,Unemployed,None,,Diploma,
20000015558,Olu,Lawal,Male,38,1988-01-01,Married,Nigerian,Self-Employed,Artisan,NGO,Primary,7.0
20000015559,Bisi,Abdullahi,Female,68,1958-01-01,Widowed,Nigerian,Retired,Retired,,Masters,
20000015560,Chinedu,Adeyemi,Male,42,1984-01-01,Divorced,Nigerian,Employed,Teacher,NGO,Bachelors,16.0
20000015561,Kunle,Abdullahi,Male,60,1966-01-01,Single,Nigerian,Retired,Retired,,PhD,
20000015562,Yusuf,Ogunleye,Male,43,1983-01-01,Divorced,Nigerian,Student,Student,,Diploma,
20000015563,Chinedu,Balogun,Male,69,1957-01-01,Single,Nigerian,Retired,Retired,,Masters,
20000015564,Halima,Adeyemi,Female,25,2001-01-01,Single,Nigerian,Employed,Accountant,Private,PhD,6.0
20000015565,Sadiq,Sadiq,Male,51,1975-01-01,Single,Nigerian,Student,Student,,PhD,
20000015566,Bisi,Adeyemi,Female,69,1957-01-01,Married,Nigerian,Retired,Retired,,Primary,
20000015567,Ade,Mohammed,Male,37,1989-01-01,Divorced,Nigerian,Retired,Retired,,Bachelors,
20000015568,Bisi,Abdullahi,Female,63,1963-01-01,Widowed,Nigerian,Self-Employed,Artisan,Private,Masters,25.0
20000015569,Kemi,Lawal,Female,54,1972-01-01,Married,Nigerian,Self-Employed,Trader,Informal,Secondary,28.0
20000015570,Emeka,Adeyemi,Male,22,2004-01-01,Divorced,Nigerian,Employed,Civil Servant,Public,Diploma,2.0
20000015571,Aisha,Abdullahi,Female,53,1973-01-01,Divorced,Nigerian,Student,Student,,Secondary,
20000015572,Amaka,Lawal,Female,51,1975-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000015573,Tunde,Mohammed,Male,68,1958-01-01,Married,Nigerian,Retired,Retired,,Masters,
20000015574,Chinedu,Abdullahi,Male,56,1970-01-01,Single,Nigerian,Employed,Civil Servant,Public,Primary,21.0
20000015575,Sade,Abdullahi,Female,34,1992-01-01,Single,Nigerian,Employed,Accountant,Public,Masters,7.0
20000015576,Olu,Akinwale,Male,75,1951-01-01,Married,Nigerian,Retired,Retired,,Masters,
20000015577,Aisha,Balogun,Female,28,1998-01-01,Divorced,Nigerian,Self-Employed,Consultant,NGO,Masters,4.0
20000015578,Sadiq,Mohammed,Male,73,1953-01-01,Widowed,Nigerian,Retired,Retired,,PhD,
20000015579,Ade,Akinwale,Male,45,1981-01-01,Married,Nigerian,Employed,Analyst,Informal,PhD,0.0
20000015580,Funke,Abdullahi,Female,23,2003-01-01,Divorced,Nigerian,Student,Student,,Bachelors,
20000015581,Ibrahim,Okoye,Male,55,1971-01-01,Married,Nigerian,Unemployed,None,,Bachelors,
20000015582,Funke,Ogunleye,Female,39,1987-01-01,Single,Nigerian,Employed,Engineer,Public,Primary,15.0
20000015583,Kunle,Ogunleye,Male,56,1970-01-01,Divorced,Nigerian,Unemployed,None,,Masters,
20000015584,Aisha,Okoye,Female,43,1983-01-01,Widowed,Nigerian,Self-Employed,Consultant,Informal,Secondary,0.0
20000015585,Zainab,Adeyemi,Female,58,1968-01-01,Married,Nigerian,Self-Employed,Farmer,Public,Primary,11.0
20000015586,Sade,Sadiq,Female,31,1995-01-01,Widowed,Nigerian,Retired,Retired,,Masters,
20000015587,Halima,Okafor,Female,29,1997-01-01,Divorced,Nigerian,Self-Employed,Artisan,NGO,Bachelors,4.0
20000015588,Bisi,Lawal,Female,39,1987-01-01,Single,Nigerian,Employed,Engineer,Informal,Bachelors,8.0
20000015589,Sade,Sadiq,Female,59,1967-01-01,Single,Nigerian,Self-Employed,Artisan,Informal,Primary,29.0
20000015590,Zainab,Mohammed,Female,49,1977-01-01,Single,Nigerian,Employed,Analyst,NGO,Diploma,10.0
20000015591,Chinedu,Lawal,Male,44,1982-01-01,Married,Nigerian,Employed,Analyst,Public,Primary,0.0
20000015592,Sade,Ogunleye,Female,62,1964-01-01,Divorced,Nigerian,Employed,Civil Servant,NGO,Secondary,24.0
20000015593,Yusuf,Okafor,Male,74,1952-01-01,Married,Nigerian,Retired,Retired,,Masters,
20000015594,Funke,Akinwale,Female,21,2005-01-01,Married,Nigerian,Student,Student,,PhD,
20000015595,Kemi,Balogun,Female,22,2004-01-01,Widowed,Nigerian,Employed,Accountant,NGO,Diploma,3.0
20000015596,Amaka,Sadiq,Female,23,2003-01-01,Widowed,Nigerian,Retired,Retired,,Bachelors,
20000015597,Olu,Akinwale,Male,64,1962-01-01,Divorced,Nigerian,Self-Employed,Trader,NGO,Masters,35.0
20000015598,Ade,Adeyemi,Male,62,1964-01-01,Divorced,Nigerian,Self-Employed,Farmer,Public,Masters,7.0
20000015599,Amaka,Mohammed,Female,42,1984-01-01,Divorced,Nigerian,Self-Employed,Consultant,Public,Bachelors,22.0
20000015600,Musa,Mohammed,Male,69,1957-01-01,Single,Nigerian,Retired,Retired,,Diploma,
20000015601,Aisha,Okoye,Female,54,1972-01-01,Single,Nigerian,Self-Employed,Artisan,Public,Diploma,22.0
20000015602,Tunde,Balogun,Male,60,1966-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015603,Sadiq,Abdullahi,Male,52,1974-01-01,Widowed,Nigerian,Employed,Accountant,Public,Secondary,14.0
20000015604,Emeka,Akinwale,Male,66,1960-01-01,Widowed,Nigerian,Retired,Retired,,Masters,
20000015605,Amaka,Abdullahi,Female,29,1997-01-01,Divorced,Nigerian,Unemployed,None,,Bachelors,
20000015606,Musa,Mohammed,Male,37,1989-01-01,Single,Nigerian,Self-Employed,Farmer,Informal,Bachelors,6.0
20000015607,Sadiq,Okafor,Male,51,1975-01-01,Divorced,Nigerian,Employed,Analyst,Informal,Secondary,27.0
20000015608,Bisi,Sadiq,Female,56,1970-01-01,Single,Nigerian,Employed,Analyst,NGO,Primary,34.0
20000015609,Chinedu,Adeyemi,Male,26,2000-01-01,Married,Nigerian,Employed,Accountant,Public,Bachelors,6.0
20000015610,Ade,Abdullahi,Male,48,1978-01-01,Married,Nigerian,Self-Employed,Trader,Private,Masters,6.0
20000015611,Ade,Okoye,Male,43,1983-01-01,Divorced,Nigerian,Employed,Analyst,Public,Bachelors,13.0
20000015612,Sade,Mohammed,Female,44,1982-01-01,Divorced,Nigerian,Employed,Analyst,Informal,Diploma,15.0
20000015613,Kunle,Lawal,Male,65,1961-01-01,Married,Nigerian,Employed,Civil Servant,Informal,Diploma,43.0
20000015614,Yusuf,Okoye,Male,19,2007-01-01,Widowed,Nigerian,Student,Student,,Primary,
20000015615,Chinedu,Akinwale,Male,21,2005-01-01,Single,Nigerian,Student,Student,,Bachelors,
20000015616,Amaka,Mohammed,Female,23,2003-01-01,Single,Nigerian,Employed,Engineer,Informal,Masters,3.0
20000015617,Fatima,Lawal,Female,74,1952-01-01,Married,Nigerian,Retired,Retired,,PhD,
20000015618,Amaka,Abdullahi,Female,43,1983-01-01,Single,Nigerian,Retired,Retired,,Primary,
20000015619,Ibrahim,Adeyemi,Male,72,1954-01-01,Divorced,Nigerian,Retired,Retired,,Diploma,
20000015620,Tunde,Mohammed,Male,46,1980-01-01,Married,Nigerian,Self-Employed,Consultant,Public,Secondary,11.0
20000015621,Aisha,Sadiq,Female,26,2000-01-01,Married,Nigerian,Unemployed,None,,Primary,
20000015622,Ade,Sadiq,Male,51,1975-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000015623,Ngozi,Abdullahi,Female,25,2001-01-01,Divorced,Nigerian,Student,Student,,Secondary,
20000015624,Sade,Mohammed,Female,33,1993-01-01,Married,Nigerian,Self-Employed,Trader,Informal,Masters,6.0
20000015625,Tunde,Sadiq,Male,25,2001-01-01,Widowed,Nigerian,Employed,Analyst,Private,Bachelors,1.0
20000015626,Zainab,Okafor,Female,29,1997-01-01,Widowed,Nigerian,Employed,Civil Servant,Informal,Masters,9.0
20000015627,Kemi,Sadiq,Female,52,1974-01-01,Single,Nigerian,Employed,Engineer,Private,Bachelors,9.0
20000015628,Olu,Balogun,Male,68,1958-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000015629,Emeka,Adeyemi,Male,65,1961-01-01,Single,Nigerian,Employed,Civil Servant,Private,Bachelors,28.0
20000015630,Ngozi,Okoye,Female,52,1974-01-01,Widowed,Nigerian,Unemployed,None,,Masters,
20000015631,Sadiq,Sadiq,Male,70,1956-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000015632,Fatima,Okoye,Female,19,2007-01-01,Divorced,Nigerian,Student,Student,,Bachelors,
20000015633,Ngozi,Okoye,Female,72,1954-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015634,Zainab,Mohammed,Female,53,1973-01-01,Single,Nigerian,Employed,Accountant,Informal,Secondary,8.0
20000015635,Musa,Akinwale,Male,44,1982-01-01,Single,Nigerian,Retired,Retired,,Primary,
20000015636,Ngozi,Lawal,Female,61,1965-01-01,Single,Nigerian,Student,Student,,Primary,
20000015637,Fatima,Balogun,Female,28,1998-01-01,Widowed,Nigerian,Unemployed,None,,Bachelors,
20000015638,Sadiq,Lawal,Male,50,1976-01-01,Married,Nigerian,Student,Student,,Bachelors,
20000015639,Amaka,Sadiq,Female,33,1993-01-01,Married,Nigerian,Self-Employed,Farmer,Public,PhD,14.0
20000015640,Sade,Balogun,Female,44,1982-01-01,Single,Nigerian,Self-Employed,Consultant,Informal,Secondary,3.0
20000015641,Ibrahim,Ogunleye,Male,38,1988-01-01,Single,Nigerian,Employed,Accountant,Informal,Primary,10.0
20000015642,Funke,Okoye,Female,61,1965-01-01,Single,Nigerian,Employed,Civil Servant,Public,Secondary,22.0
20000015643,Amaka,Okoye,Female,64,1962-01-01,Single,Nigerian,Unemployed,None,,Masters,
20000015644,Aisha,Akinwale,Female,43,1983-01-01,Widowed,Nigerian,Employed,Accountant,Private,Primary,0.0
20000015645,Emeka,Balogun,Male,63,1963-01-01,Divorced,Nigerian,Employed,Teacher,Private,PhD,25.0
20000015646,Emeka,Lawal,Male,43,1983-01-01,Widowed,Nigerian,Self-Employed,Consultant,NGO,Secondary,4.0
20000015647,Kemi,Balogun,Female,74,1952-01-01,Divorced,Nigerian,Retired,Retired,,Bachelors,
20000015648,Chinedu,Akinwale,Male,58,1968-01-01,Single,Nigerian,Self-Employed,Farmer,Private,PhD,13.0
20000015649,Tunde,Akinwale,Male,42,1984-01-01,Widowed,Nigerian,Employed,Civil Servant,NGO,Primary,1.0
20000015650,Amaka,Mohammed,Female,39,1987-01-01,Married,Nigerian,Student,Student,,PhD,
20000015651,Fatima,Okoye,Female,54,1972-01-01,Divorced,Nigerian,Employed,Teacher,Public,Secondary,21.0
20000015652,Musa,Sadiq,Male,71,1955-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015653,Ade,Akinwale,Male,23,2003-01-01,Widowed,Nigerian,Student,Student,,Secondary,
20000015654,Kunle,Sadiq,Male,59,1967-01-01,Widowed,Nigerian,Employed,Teacher,Private,Masters,1.0
20000015655,Aisha,Ogunleye,Female,61,1965-01-01,Widowed,Nigerian,Student,Student,,Primary,
20000015656,Chinedu,Adeyemi,Male,70,1956-01-01,Married,Nigerian,Retired,Retired,,Masters,
20000015657,Yusuf,Balogun,Male,23,2003-01-01,Divorced,Nigerian,Employed,Accountant,Public,Primary,5.0
20000015658,Emeka,Lawal,Male,62,1964-01-01,Divorced,Nigerian,Self-Employed,Trader,Informal,Secondary,1.0
20000015659,Ade,Lawal,Male,46,1980-01-01,Married,Nigerian,Self-Employed,Farmer,Informal,Bachelors,4.0
20000015660,Kunle,Okafor,Male,47,1979-01-01,Single,Nigerian,Employed,Accountant,NGO,Primary,15.0
20000015661,Tunde,Adeyemi,Male,54,1972-01-01,Single,Nigerian,Unemployed,None,,Masters,
20000015662,Kunle,Abdullahi,Male,27,1999-01-01,Divorced,Nigerian,Student,Student,,Diploma,
20000015663,Fatima,Sadiq,Female,72,1954-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000015664,Kunle,Balogun,Male,45,1981-01-01,Single,Nigerian,Unemployed,None,,Primary,
20000015665,Kemi,Okoye,Female,19,2007-01-01,Divorced,Nigerian,Student,Student,,Primary,
20000015666,Sadiq,Adeyemi,Male,19,2007-01-01,Widowed,Nigerian,Student,Student,,Primary,
20000015667,Emeka,Ogunleye,Male,49,1977-01-01,Widowed,Nigerian,Employed,Civil Servant,Private,Bachelors,24.0
20000015668,Sadiq,Ogunleye,Male,39,1987-01-01,Widowed,Nigerian,Retired,Retired,,PhD,
20000015669,Halima,Okafor,Female,61,1965-01-01,Single,Nigerian,Employed,Accountant,NGO,Bachelors,28.0
20000015670,Ibrahim,Abdullahi,Male,45,1981-01-01,Married,Nigerian,Student,Student,,PhD,
20000015671,Ibrahim,Okoye,Male,60,1966-01-01,Widowed,Nigerian,Employed,Accountant,NGO,Diploma,29.0
20000015672,Chinedu,Akinwale,Male,48,1978-01-01,Widowed,Nigerian,Employed,Analyst,NGO,PhD,2.0
20000015673,Zainab,Adeyemi,Female,18,2008-01-01,Divorced,Nigerian,Student,Student,,Diploma,
20000015674,Sade,Balogun,Female,75,1951-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000015675,Halima,Adeyemi,Female,35,1991-01-01,Divorced,Nigerian,Unemployed,None,,Diploma,
20000015676,Yusuf,Mohammed,Male,37,1989-01-01,Married,Nigerian,Self-Employed,Farmer,NGO,Diploma,16.0
20000015677,Emeka,Okoye,Male,63,1963-01-01,Single,Nigerian,Unemployed,None,,Masters,
20000015678,Fatima,Okoye,Female,22,2004-01-01,Married,Nigerian,Employed,Analyst,Public,PhD,3.0
20000015679,Fatima,Mohammed,Female,23,2003-01-01,Widowed,Nigerian,Employed,Teacher,NGO,Primary,2.0
20000015680,Ngozi,Akinwale,Female,68,1958-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000015681,Kunle,Sadiq,Male,74,1952-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015682,Emeka,Ogunleye,Male,55,1971-01-01,Divorced,Nigerian,Employed,Analyst,Informal,Bachelors,10.0
20000015683,Amaka,Ogunleye,Female,47,1979-01-01,Single,Nigerian,Employed,Civil Servant,Public,Bachelors,22.0
20000015684,Bisi,Okoye,Female,52,1974-01-01,Divorced,Nigerian,Employed,Engineer,Informal,PhD,32.0
20000015685,Amaka,Adeyemi,Female,56,1970-01-01,Divorced,Nigerian,Employed,Analyst,NGO,Secondary,24.0
20000015686,Emeka,Sadiq,Male,63,1963-01-01,Single,Nigerian,Employed,Accountant,Informal,PhD,36.0
20000015687,Sade,Akinwale,Female,75,1951-01-01,Single,Nigerian,Retired,Retired,,Primary,
20000015688,Yusuf,Lawal,Male,52,1974-01-01,Married,Nigerian,Employed,Accountant,Informal,Secondary,6.0
20000015689,Kemi,Adeyemi,Female,40,1986-01-01,Widowed,Nigerian,Self-Employed,Farmer,Private,PhD,1.0
20000015690,Ngozi,Mohammed,Female,70,1956-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000015691,Ade,Sadiq,Male,49,1977-01-01,Married,Nigerian,Retired,Retired,,Bachelors,
20000015692,Ngozi,Abdullahi,Female,22,2004-01-01,Single,Nigerian,Employed,Engineer,Informal,Bachelors,3.0
20000015693,Olu,Lawal,Male,49,1977-01-01,Widowed,Nigerian,Student,Student,,PhD,
20000015694,Aisha,Balogun,Female,44,1982-01-01,Single,Nigerian,Student,Student,,Bachelors,
20000015695,Funke,Balogun,Female,73,1953-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000015696,Bisi,Mohammed,Female,20,2006-01-01,Married,Nigerian,Student,Student,,Primary,
20000015697,Ade,Abdullahi,Male,63,1963-01-01,Divorced,Nigerian,Unemployed,None,,PhD,
20000015698,Sade,Ogunleye,Female,75,1951-01-01,Single,Nigerian,Retired,Retired,,Bachelors,
20000015699,Halima,Adeyemi,Female,58,1968-01-01,Widowed,Nigerian,Employed,Teacher,NGO,Masters,35.0
20000015700,Musa,Ogunleye,Male,38,1988-01-01,Widowed,Nigerian,Employed,Civil Servant,Private,Diploma,16.0
20000015701,Ade,Adeyemi,Male,70,1956-01-01,Widowed,Nigerian,Retired,Retired,,Bachelors,
20000015702,Ngozi,Balogun,Female,25,2001-01-01,Widowed,Nigerian,Student,Student,,PhD,
20000015703,Funke,Lawal,Female,24,2002-01-01,Divorced,Nigerian,Employed,Teacher,Public,Secondary,2.0
20000015704,Ade,Adeyemi,Male,39,1987-01-01,Single,Nigerian,Self-Employed,Artisan,Informal,Secondary,2.0
20000015705,Ibrahim,Balogun,Male,72,1954-01-01,Single,Nigerian,Retired,Retired,,Primary,
20000015706,Ibrahim,Sadiq,Male,28,1998-01-01,Married,Nigerian,Employed,Civil Servant,Public,Masters,8.0
20000015707,Kemi,Balogun,Female,33,1993-01-01,Married,Nigerian,Self-Employed,Artisan,Informal,Bachelors,9.0
20000015708,Amaka,Sadiq,Female,72,1954-01-01,Widowed,Nigerian,Retired,Retired,,Bachelors,
20000015709,Funke,Lawal,Female,60,1966-01-01,Single,Nigerian,Self-Employed,Artisan,NGO,Masters,28.0
20000015710,Musa,Mohammed,Male,48,1978-01-01,Divorced,Nigerian,Unemployed,None,,Diploma,
20000015711,Ibrahim,Balogun,Male,55,1971-01-01,Divorced,Nigerian,Employed,Accountant,NGO,Secondary,27.0
20000015712,Kunle,Mohammed,Male,35,1991-01-01,Married,Nigerian,Self-Employed,Trader,Private,PhD,0.0
20000015713,Tunde,Abdullahi,Male,64,1962-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015714,Sadiq,Adeyemi,Male,70,1956-01-01,Divorced,Nigerian,Retired,Retired,,Primary,
20000015715,Zainab,Sadiq,Female,44,1982-01-01,Widowed,Nigerian,Employed,Engineer,Private,Secondary,15.0
20000015716,Ade,Okafor,Male,75,1951-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000015717,Emeka,Mohammed,Male,48,1978-01-01,Single,Nigerian,Student,Student,,Secondary,
20000015718,Funke,Okoye,Female,69,1957-01-01,Divorced,Nigerian,Retired,Retired,,Bachelors,
20000015719,Aisha,Balogun,Female,70,1956-01-01,Married,Nigerian,Retired,Retired,,Primary,
20000015720,Tunde,Sadiq,Male,45,1981-01-01,Divorced,Nigerian,Retired,Retired,,Diploma,
20000015721,Ibrahim,Mohammed,Male,44,1982-01-01,Divorced,Nigerian,Employed,Analyst,Private,Diploma,25.0
20000015722,Ngozi,Okoye,Female,29,1997-01-01,Widowed,Nigerian,Employed,Analyst,Public,Diploma,10.0
20000015723,Bisi,Mohammed,Female,30,1996-01-01,Widowed,Nigerian,Student,Student,,Secondary,
20000015724,Ibrahim,Okafor,Male,32,1994-01-01,Married,Nigerian,Employed,Accountant,NGO,Bachelors,14.0
20000015725,Kunle,Sadiq,Male,31,1995-01-01,Married,Nigerian,Employed,Accountant,Informal,Secondary,2.0
20000015726,Kemi,Sadiq,Female,18,2008-01-01,Married,Nigerian,Student,Student,,Diploma,
20000015727,Emeka,Adeyemi,Male,38,1988-01-01,Widowed,Nigerian,Employed,Civil Servant,Private,Primary,19.0
20000015728,Ade,Okafor,Male,64,1962-01-01,Divorced,Nigerian,Employed,Civil Servant,Informal,Bachelors,8.0
20000015729,Olu,Akinwale,Male,46,1980-01-01,Single,Nigerian,Self-Employed,Farmer,Public,Diploma,27.0
20000015730,Musa,Ogunleye,Male,38,1988-01-01,Divorced,Nigerian,Employed,Civil Servant,NGO,PhD,1.0
20000015731,Ngozi,Akinwale,Female,70,1956-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015732,Yusuf,Balogun,Male,18,2008-01-01,Married,Nigerian,Student,Student,,Diploma,
20000015733,Yusuf,Abdullahi,Male,57,1969-01-01,Married,Nigerian,Self-Employed,Consultant,Private,Diploma,13.0
20000015734,Emeka,Lawal,Male,20,2006-01-01,Widowed,Nigerian,Student,Student,,Masters,
20000015735,Sadiq,Abdullahi,Male,50,1976-01-01,Single,Nigerian,Retired,Retired,,Diploma,
20000015736,Kunle,Okafor,Male,52,1974-01-01,Married,Nigerian,Employed,Accountant,NGO,Bachelors,5.0
20000015737,Funke,Abdullahi,Female,67,1959-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000015738,Ade,Adeyemi,Male,21,2005-01-01,Widowed,Nigerian,Student,Student,,Secondary,
20000015739,Emeka,Akinwale,Male,63,1963-01-01,Widowed,Nigerian,Employed,Engineer,NGO,Secondary,2.0
20000015740,Ibrahim,Balogun,Male,40,1986-01-01,Married,Nigerian,Student,Student,,Masters,
20000015741,Yusuf,Abdullahi,Male,28,1998-01-01,Widowed,Nigerian,Unemployed,None,,Masters,
20000015742,Ngozi,Abdullahi,Female,28,1998-01-01,Married,Nigerian,Employed,Engineer,Informal,Masters,6.0
20000015743,Amaka,Balogun,Female,64,1962-01-01,Divorced,Nigerian,Employed,Analyst,NGO,PhD,46.0
20000015744,Ade,Okafor,Male,51,1975-01-01,Married,Nigerian,Unemployed,None,,Primary,
20000015745,Tunde,Adeyemi,Male,63,1963-01-01,Married,Nigerian,Self-Employed,Artisan,NGO,Diploma,41.0
20000015746,Amaka,Mohammed,Female,74,1952-01-01,Widowed,Nigerian,Retired,Retired,,Bachelors,
20000015747,Zainab,Ogunleye,Female,32,1994-01-01,Divorced,Nigerian,Unemployed,None,,PhD,
20000015748,Ade,Lawal,Male,28,1998-01-01,Married,Nigerian,Employed,Accountant,Private,Primary,2.0
20000015749,Halima,Balogun,Female,49,1977-01-01,Widowed,Nigerian,Unemployed,None,,PhD,
20000015750,Aisha,Abdullahi,Female,41,1985-01-01,Divorced,Nigerian,Employed,Civil Servant,Informal,Diploma,2.0
20000015751,Ade,Akinwale,Male,20,2006-01-01,Single,Nigerian,Student,Student,,Secondary,
20000015752,Kemi,Okoye,Female,66,1960-01-01,Single,Nigerian,Retired,Retired,,Diploma,
20000015753,Musa,Okafor,Male,18,2008-01-01,Divorced,Nigerian,Student,Student,,Secondary,
20000015754,Funke,Adeyemi,Female,67,1959-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000015755,Kunle,Mohammed,Male,54,1972-01-01,Widowed,Nigerian,Employed,Accountant,Informal,Secondary,35.0
20000015756,Ibrahim,Sadiq,Male,36,1990-01-01,Widowed,Nigerian,Retired,Retired,,Diploma,
20000015757,Sade,Abdullahi,Female,20,2006-01-01,Widowed,Nigerian,Student,Student,,Bachelors,
20000015758,Musa,Mohammed,Male,70,1956-01-01,Divorced,Nigerian,Retired,Retired,,Masters,
20000015759,Ngozi,Okafor,Female,21,2005-01-01,Widowed,Nigerian,Student,Student,,Primary,
20000015760,Yusuf,Abdullahi,Male,66,1960-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000015761,Sade,Akinwale,Female,67,1959-01-01,Single,Nigerian,Retired,Retired,,Masters,
20000015762,Musa,Lawal,Male,69,1957-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000015763,Fatima,Sadiq,Female,34,1992-01-01,Married,Nigerian,Student,Student,,Secondary,
20000015764,Ade,Lawal,Male,57,1969-01-01,Divorced,Nigerian,Employed,Teacher,Public,PhD,5.0
20000015765,Fatima,Mohammed,Female,43,1983-01-01,Widowed,Nigerian,Employed,Analyst,Public,Bachelors,24.0
20000015766,Chinedu,Okoye,Male,60,1966-01-01,Single,Nigerian,Employed,Civil Servant,Public,Diploma,42.0
20000015767,Fatima,Ogunleye,Female,54,1972-01-01,Married,Nigerian,Self-Employed,Artisan,Informal,Bachelors,11.0
20000015768,Bisi,Lawal,Female,65,1961-01-01,Single,Nigerian,Employed,Civil Servant,NGO,Secondary,47.0
20000015769,Aisha,Balogun,Female,45,1981-01-01,Divorced,Nigerian,Employed,Teacher,NGO,Secondary,21.0
20000015770,Funke,Adeyemi,Female,44,1982-01-01,Married,Nigerian,Self-Employed,Consultant,Public,Masters,17.0
20000015771,Zainab,Akinwale,Female,60,1966-01-01,Widowed,Nigerian,Employed,Accountant,Informal,Bachelors,31.0
20000015772,Sadiq,Akinwale,Male,66,1960-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000015773,Halima,Okafor,Female,66,1960-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000015774,Olu,Abdullahi,Male,64,1962-01-01,Widowed,Nigerian,Employed,Teacher,NGO,Secondary,40.0
20000015775,Zainab,Sadiq,Female,74,1952-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000015776,Tunde,Mohammed,Male,22,2004-01-01,Divorced,Nigerian,Retired,Retired,,Masters,
20000015777,Ibrahim,Ogunleye,Male,74,1952-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000015778,Ade,Mohammed,Male,29,1997-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000015779,Ibrahim,Balogun,Male,21,2005-01-01,Married,Nigerian,Student,Student,,Secondary,
20000015780,Chinedu,Balogun,Male,65,1961-01-01,Divorced,Nigerian,Self-Employed,Consultant,Private,Secondary,17.0
20000015781,Zainab,Okoye,Female,60,1966-01-01,Married,Nigerian,Employed,Civil Servant,NGO,Masters,35.0
20000015782,Chinedu,Abdullahi,Male,62,1964-01-01,Divorced,Nigerian,Self-Employed,Artisan,Public,Bachelors,23.0
20000015783,Funke,Ogunleye,Female,44,1982-01-01,Widowed,Nigerian,Employed,Accountant,Public,Bachelors,3.0
20000015784,Amaka,Balogun,Female,26,2000-01-01,Widowed,Nigerian,Self-Employed,Trader,NGO,Masters,0.0
20000015785,Bisi,Okoye,Female,69,1957-01-01,Married,Nigerian,Retired,Retired,,PhD,
20000015786,Ibrahim,Lawal,Male,50,1976-01-01,Single,Nigerian,Self-Employed,Farmer,NGO,Secondary,18.0
